Gr Liv Area,Bedroom AbvGr,Neighborhood,Year Built,Year Remod/Add,Yr Sold,Total Bsmt SF,SalePrice
1656,3,NAmes,1960,1960,2010,1080,215000
896,2,NAmes,1961,1961,2010,882,105000
1329,3,NAmes,1958,1958,2010,1329,172000
2110,3,NAmes,1968,1968,2010,2110,244000
1629,3,Gilbert,1997,1998,2010,928,189900
1604,3,Gilbert,1998,1998,2010,926,195500
1338,2,StoneBr,2001,2001,2010,1338,213500
1280,2,StoneBr,1992,1992,2010,1280,191500
1616,2,StoneBr,1995,1996,2010,1595,236500
1804,3,Gilbert,1999,1999,2010,994,189000
1655,3,Gilbert,1993,1994,2010,763,175900
1465,3,Gilbert,1998,1998,2010,789,180400
1341,2,Gilbert,1990,1990,2010,1300,171500
3279,4,StoneBr,2003,2003,2010,1650,538000
1752,4,Gilbert,1988,2005,2010,559,164000
1856,1,StoneBr,2010,2010,2010,1856,394432
864,2,Gilbert,1951,1951,2010,864,141000
2073,3,NWAmes,1978,1988,2010,1542,210000
1844,3,NWAmes,1977,1977,2010,1844,190000
1173,3,NWAmes,1974,1974,2010,1053,170000
1056,3,NAmes,1968,1968,2010,1056,142000
882,2,NAmes,1970,1970,2010,882,126000
1337,2,NAmes,1999,1999,2010,1405,184000
987,2,BrDale,1971,1971,2010,483,96000
1092,3,BrDale,1971,1971,2010,525,105500
1092,3,BrDale,1971,1971,2010,525,88000
1069,2,NPkVill,1977,1977,2010,1069,127500
1456,3,NPkVill,1975,1975,2010,855,149900
836,2,NPkVill,1975,1975,2010,836,120000
1456,3,NPkVill,1978,1978,2010,855,146000
2334,3,NridgHt,2009,2010,2010,1590,376162
1704,3,NridgHt,2007,2008,2010,1704,306000
1940,3,NridgHt,2009,2010,2010,1930,395192
1544,3,NridgHt,2009,2010,2010,1544,290941
1541,3,NridgHt,2005,2005,2010,1541,220000
1698,3,NridgHt,2005,2005,2010,1698,275000
1822,3,NridgHt,2005,2006,2010,1822,259000
1535,3,NridgHt,2004,2004,2010,1517,214000
2364,2,NridgHt,2009,2010,2010,2330,611657
1358,2,NridgHt,2009,2010,2010,1358,224000
2696,3,NridgHt,2003,2004,2010,2846,500000
2250,3,NridgHt,2002,2002,2010,1671,320000
1752,2,NridgHt,2005,2005,2010,1752,319900
1370,2,NridgHt,2006,2006,2010,1370,205000
1626,2,NridgHt,2003,2003,2010,764,175500
1324,3,Gilbert,2005,2005,2010,1324,199500
1145,2,Blmngtn,2006,2006,2010,1145,160000
1269,2,Blmngtn,2004,2005,2010,1256,192000
1374,3,Gilbert,2004,2004,2010,384,184500
1733,3,Gilbert,2004,2004,2010,847,185088
2599,4,NoRidge,1999,1999,2010,1393,333168
2475,4,NoRidge,1998,1998,2010,1629,355000
1720,3,NoRidge,1996,1996,2010,1720,260400
2622,3,NoRidge,1994,1995,2010,1463,325000
2270,4,NoRidge,1999,2007,2010,1152,290000
1839,4,NoRidge,1998,1998,2010,1195,221000
3238,4,NoRidge,1995,1996,2010,2033,410000
1595,2,Somerst,2005,2006,2010,1595,221500
1218,2,Somerst,2009,2010,2010,1218,204500
1547,3,Somerst,2009,2009,2010,756,215200
1566,3,Somerst,2008,2008,2010,1566,262500
1947,3,Somerst,2004,2005,2010,991,254900
1468,2,Somerst,2005,2005,2010,1468,271500
2084,4,SawyerW,2004,2004,2010,956,233000
1659,3,SawyerW,2004,2004,2010,831,181000
923,2,SawyerW,1980,1980,2010,923,143000
1845,3,SawyerW,1992,1992,2010,1055,189000
918,2,SawyerW,1979,1979,2010,918,99500
752,2,SawyerW,1984,1984,2010,744,125000
1097,3,SawyerW,1984,1985,2010,1040,152000
1564,3,SawyerW,1980,1981,2010,650,171000
1012,2,SawyerW,1920,1950,2010,816,67500
1902,4,Sawyer,1978,1978,2010,0,112000
1155,3,Sawyer,1961,1995,2010,1109,148000
894,3,Sawyer,1965,2009,2010,894,138500
1040,3,Sawyer,1963,1963,2010,1040,133000
1494,3,Sawyer,1974,2002,2010,1208,169000
1923,3,NoRidge,1992,1992,2010,750,190000
2349,4,NoRidge,1993,1993,2010,1231,362500
2225,4,NoRidge,1992,1993,2010,1390,285000
1488,2,Somerst,2004,2005,2010,1488,260000
1680,2,Somerst,2004,2004,2010,840,190000
1200,2,Somerst,2004,2004,2010,600,155000
1200,2,Somerst,2004,2005,2010,600,151000
1200,2,Somerst,2004,2005,2010,600,149500
1236,2,Somerst,2005,2005,2010,600,152000
1416,3,Somerst,1999,1999,2010,696,155000
1418,1,Somerst,2010,2010,2010,1642,267916
1848,3,Somerst,2000,2000,2010,975,254000
788,1,Greens,1980,1980,2010,728,155000
1226,1,Greens,1978,1978,2010,1226,206000
1492,3,Somerst,2002,2002,2010,1492,230000
2495,4,NWAmes,1993,1993,2010,1280,243500
1714,3,NWAmes,1988,1988,2010,980,196500
1381,3,NWAmes,1972,2006,2010,1161,197500
1645,4,NWAmes,1971,1971,2010,715,171000
1232,3,NAmes,1966,1966,2010,1232,142250
1209,3,NAmes,1966,1966,2010,1209,159000
1510,3,NAmes,1967,1967,2010,1510,178900
1054,3,NAmes,1963,1963,2010,936,137500
1078,2,NAmes,1950,1996,2010,1078,142125
2461,3,NAmes,1952,2002,2010,1140,197600
1556,3,NAmes,1949,1950,2010,782,172500
1063,3,NAmes,1954,1954,2010,1056,128000
1520,3,NAmes,1955,1972,2010,1156,153000
1268,2,NAmes,1954,1954,2010,1268,132000
1128,2,NAmes,1966,2008,2010,1080,178000
2274,5,NAmes,1960,1960,2010,1105,154300
1888,2,NAmes,1966,2002,2010,1517,190000
1604,4,NAmes,1958,1958,2010,1604,135000
1480,3,NAmes,2003,2009,2010,1480,214000
1700,4,NAmes,1959,1959,2010,1398,165500
1314,3,NAmes,1957,1957,2010,1314,145000
1194,3,NAmes,1959,1959,2010,1194,148000
1264,3,NAmes,1960,1960,2010,1268,167500
1206,3,NAmes,1959,1959,2010,1206,108538
1580,3,NAmes,1959,1959,2010,1244,159500
1337,3,NAmes,1956,1956,2010,832,108000
1064,2,NAmes,1952,1952,2010,864,135000
972,3,NAmes,1955,1955,2010,972,122500
988,2,NAmes,1958,1958,2010,988,119000
1057,3,NAmes,1953,2007,2010,1057,109000
985,2,NAmes,1920,1994,2010,576,105000
827,2,NAmes,1955,2007,2010,0,107500
1086,3,NAmes,1954,2003,2010,1086,144900
936,2,NAmes,1956,2000,2010,936,129000
1458,3,NAmes,1948,1950,2010,912,97500
1056,0,OldTown,1980,1980,2010,1056,144000
2978,5,NAmes,1967,2007,2010,710,242000
1224,3,NAmes,1948,2004,2010,816,132000
1246,3,NAmes,1959,1994,2010,1246,154000
1385,4,NAmes,1952,1952,2010,910,166000
900,3,NAmes,1951,2000,2010,900,134800
1116,3,NAmes,1962,1962,2010,1116,160000
1175,3,NAmes,1960,1960,2010,1175,148000
1395,2,NAmes,1963,1984,2010,1395,192000
1839,4,NAmes,1966,1966,2010,756,155000
1844,3,OldTown,1900,1954,2010,709,80400
1028,2,OldTown,1927,1950,2010,1008,115000
1347,3,OldTown,1957,1957,2010,1347,143000
1605,3,OldTown,1915,1950,2010,840,107400
747,2,OldTown,1945,1950,2010,747,80000
804,2,OldTown,1940,1992,2010,788,119000
1316,3,OldTown,1929,2001,2010,926,130000
1251,3,OldTown,1938,2000,2010,827,119000
1633,3,OldTown,1948,2009,2010,1027,129000
832,2,OldTown,1923,1970,2010,678,12789
720,2,OldTown,1928,2003,2010,624,105900
1566,3,OldTown,1900,2003,2010,930,150000
1652,4,OldTown,1915,1950,2010,686,139000
2268,3,OldTown,1890,2002,2010,346,240000
1236,2,OldTown,1957,1996,2010,912,149700
1363,3,OldTown,1910,1950,2010,622,125500
2290,4,OldTown,1885,1950,2010,777,122500
1470,2,OldTown,1922,1994,2010,738,140750
1612,3,BrkSide,1950,1997,2010,988,128500
765,2,BrkSide,1925,1950,2010,765,87000
1132,2,BrkSide,1939,1950,2010,608,134000
1196,3,BrkSide,1940,1950,2010,572,128000
1453,3,BrkSide,1942,1950,2010,835,132000
1416,3,BrkSide,1948,1950,2010,780,139900
1040,2,BrkSide,1936,1980,2010,528,123900
1536,4,BrkSide,1930,1950,2010,928,138400
1068,2,OldTown,1923,1950,2010,1124,109500
1710,3,OldTown,1921,1950,2010,576,140000
1962,4,OldTown,1915,1950,2010,888,149500
1324,3,OldTown,1920,1993,2010,662,122000
816,2,IDOTRR,1963,1963,2010,816,110000
1812,4,OldTown,1900,1996,2010,360,140000
1675,3,ClearCr,1959,1959,2010,1422,173000
1224,3,ClearCr,1917,1950,2010,689,107500
919,3,SWISU,1940,1950,2010,600,95000
1680,2,SWISU,1910,1950,2010,856,114900
1039,3,Sawyer,1965,1965,2010,1039,131500
912,3,Sawyer,1967,1967,2010,912,125000
892,3,Sawyer,1966,2008,2010,864,137900
1352,4,Sawyer,1969,1969,2010,663,158000
864,2,Sawyer,1968,1968,2010,864,137250
1440,4,Sawyer,1968,1968,2010,720,163000
2260,3,ClearCr,1996,1997,2010,1306,328000
756,2,Sawyer,1927,1950,2010,660,85000
1067,2,Sawyer,1950,1995,2010,1067,128000
1610,4,Edwards,1938,1990,2010,972,124000
835,2,Edwards,1920,1950,2010,458,83000
1074,3,Edwards,1950,1987,2010,663,144500
1144,3,Edwards,1956,1956,2010,1144,129000
1531,3,Edwards,1947,1979,2010,756,127000
1172,3,Edwards,1954,1998,2010,1172,128000
1212,3,Edwards,2009,2009,2010,1212,186000
1508,1,Edwards,2009,2010,2010,1508,308030
930,2,Edwards,1946,2006,2010,0,84900
1732,3,SawyerW,1985,1985,2010,741,178000
1433,1,SawyerW,1987,1987,2010,1433,270000
1802,3,SawyerW,1993,1993,2010,946,218000
1949,3,SawyerW,1993,1994,2010,1050,236000
996,2,SawyerW,1992,1992,2010,936,147000
1694,3,CollgCr,2008,2008,2010,1694,245350
1208,2,CollgCr,2006,2006,2010,1187,206000
1226,3,CollgCr,2009,2009,2010,1226,198900
1222,2,CollgCr,2010,2010,2010,1222,187000
3222,5,SawyerW,1990,1990,2010,1673,320000
1445,3,SawyerW,1900,1993,2010,676,138500
1052,3,ClearCr,1971,1971,2010,1010,155000
965,2,CollgCr,1996,1996,2010,870,159000
1682,3,CollgCr,1998,1998,2010,804,200500
1026,3,CollgCr,1977,2004,2010,1026,150000
894,3,CollgCr,1976,1976,2010,894,128200
876,3,CollgCr,1972,1972,2010,876,127000
1978,3,CollgCr,2003,2003,2010,1978,318000
1829,3,CollgCr,2003,2003,2010,941,237000
2098,4,CollgCr,1997,1997,2010,1040,240000
1661,3,CollgCr,1998,1998,2010,1649,224900
1668,3,CollgCr,2003,2003,2010,1657,232000
1484,3,CollgCr,2004,2005,2010,1473,213000
1414,3,CollgCr,2004,2004,2010,1414,185500
640,2,Edwards,1945,2007,2010,0,84900
992,3,Edwards,1954,1954,2010,381,155891
1196,3,Edwards,1968,1968,2010,1196,144000
1120,2,Edwards,1948,1950,2010,744,64000
1096,3,Edwards,1975,1975,2010,1008,125200
1117,3,Edwards,1976,1976,2010,1029,107000
1121,2,Edwards,2003,2004,2010,1121,140000
1487,3,Edwards,1945,1950,2010,735,113000
924,2,Edwards,1941,1950,2010,672,80000
1526,4,Edwards,1957,2002,2010,1216,144500
1296,2,SWISU,1924,1999,2010,1107,104000
1647,4,SWISU,1915,1950,2010,806,128000
864,2,Edwards,1914,1950,2010,864,58500
1691,3,SWISU,1924,1950,2010,1026,127000
2447,4,SWISU,1919,1990,2010,804,169000
2133,4,Crawfor,1941,1985,2010,1528,257500
2177,5,Crawfor,1950,1991,2010,1032,215000
2340,4,Crawfor,1941,2006,2010,1152,266500
1902,3,Crawfor,1959,2002,2010,1902,335000
1652,3,Crawfor,1994,2007,2010,423,203135
1034,1,Blueste,1989,1989,2010,982,185000
1191,2,Blueste,1989,1989,2010,1191,162500
1801,1,Crawfor,1959,1997,2010,1501,289000
1154,3,IDOTRR,1922,2007,2010,796,125500
540,1,IDOTRR,1941,1950,2010,480,82000
1107,2,IDOTRR,1921,1975,2010,629,110000
1128,2,IDOTRR,1920,1950,2010,698,68400
1178,2,IDOTRR,1900,1950,2010,859,102776
1044,2,IDOTRR,1952,1952,2010,540,55993
952,3,IDOTRR,1896,1950,2010,756,50138
1646,2,Crawfor,2004,2005,2010,1594,246000
1916,3,Mitchel,1998,1999,2010,1049,254900
1285,3,Mitchel,1977,1977,2010,1243,190000
1560,3,Mitchel,2003,2003,2010,1560,201000
1346,3,Timber,2008,2008,2010,1336,220000
1214,2,Timber,2009,2010,2010,1214,179781
1444,3,Timber,2006,2007,2010,384,174000
1968,4,Timber,2009,2010,2010,774,269500
1894,4,Timber,2002,2003,2010,817,214900
1908,4,Timber,2002,2002,2010,967,202900
2018,3,Timber,2008,2009,2010,2002,378500
1264,2,Mitchel,1965,1977,2010,1068,169000
1430,3,Mitchel,2004,2005,2010,1430,173500
945,2,MeadowV,1973,1973,2010,945,119500
1112,3,MeadowV,1976,1976,2010,536,85000
1092,3,MeadowV,1972,1972,2010,546,85500
874,3,Mitchel,1971,2004,2010,864,130000
833,2,Mitchel,1984,1984,2010,833,149900
2432,4,Mitchel,1985,1986,2010,1216,159000
1274,3,Mitchel,1991,1991,2010,624,136000
1479,5,Mitchel,1969,1969,2010,864,161000
1803,3,Mitchel,1994,1995,2010,1679,285000
1797,3,Mitchel,1993,1994,2010,1152,231000
882,2,NAmes,1956,1956,2009,882,124500
1434,4,NAmes,1974,1974,2009,1434,157000
2704,4,NAmes,1972,1995,2009,1952,345000
1608,3,Gilbert,1997,1997,2009,945,189500
1628,3,Gilbert,1996,1997,2009,384,189000
1746,3,Gilbert,2006,2007,2009,1746,377500
2522,1,StoneBr,2004,2005,2009,2208,375000
1659,2,StoneBr,2000,2000,2009,1501,278000
1478,2,StoneBr,1998,1998,2009,1418,240000
1734,2,StoneBr,1995,1996,2009,1587,239500
1382,3,Gilbert,1998,1998,2009,384,177500
1718,3,Gilbert,1998,1998,2009,832,185000
1636,3,Gilbert,1998,1999,2009,952,191000
1571,3,Gilbert,1993,1994,2009,799,178000
1190,3,Gilbert,1993,1993,2009,1181,166000
1481,3,Gilbert,1994,1995,2009,702,174000
1442,3,Gilbert,1990,1990,2009,1424,180500
2234,1,StoneBr,2008,2009,2009,2216,501837
2046,3,StoneBr,2008,2008,2009,2046,372500
1530,3,StoneBr,2005,2005,2009,1530,260000
1934,3,Gilbert,1977,1977,2009,1122,185000
2353,4,NWAmes,1980,1980,2009,845,260000
1586,3,NWAmes,1979,1998,2009,1362,181000
1411,3,NWAmes,1977,1977,2009,1386,82500
1671,3,NWAmes,1978,1986,2009,1427,200000
1707,3,NWAmes,1978,1998,2009,1140,184000
2524,4,NWAmes,1981,1981,2009,2524,278000
1601,3,NWAmes,1978,1978,2009,1271,157000
1370,3,NWAmes,1976,1976,2009,1090,152000
1884,3,Somerst,2003,2003,2009,926,240900
1935,3,Somerst,2009,2009,2009,832,263435
1116,3,NWAmes,1974,1974,2009,1116,167900
1193,3,NWAmes,1975,1975,2009,1176,158000
1350,3,NWAmes,1974,1974,2009,1064,165000
1026,3,NAmes,1969,2005,2009,1026,156000
864,3,NAmes,1970,1970,2009,864,76500
864,3,NAmes,1970,1970,2009,864,120500
864,3,NAmes,1970,1970,2009,864,124500
864,2,NAmes,1971,1971,2009,864,97000
864,3,NAmes,1971,2006,2009,864,130000
987,2,BrDale,1973,1973,2009,483,111000
1365,3,BrDale,1970,1970,2009,765,125000
1302,3,BrDale,1971,1971,2009,630,112000
987,2,BrDale,1972,1972,2009,483,97000
987,2,BrDale,1972,2007,2009,483,118000
1302,3,BrDale,1972,1972,2009,630,119500
1548,3,NPkVill,1976,1976,2009,804,146000
1456,3,NPkVill,1976,1976,2009,855,148500
1055,2,NPkVill,1975,1975,2009,1057,123000
1322,3,NPkVill,1974,1974,2009,855,147000
1456,3,NPkVill,1977,1977,2009,855,137900
1548,3,NPkVill,1978,1978,2009,804,147000
1441,3,NPkVill,1978,1978,2009,855,148500
1456,3,NPkVill,1978,1978,2009,855,138000
836,2,NPkVill,1976,1976,2009,836,128500
892,3,NAmes,1967,1967,2009,892,100000
1718,3,NridgHt,2006,2007,2009,1700,337500
2772,4,NridgHt,2007,2007,2009,1776,462000
3140,4,NridgHt,2008,2009,2009,1926,485000
2402,2,NridgHt,2008,2008,2009,3094,555000
1652,2,NridgHt,2006,2007,2009,1652,325000
1600,3,NridgHt,2007,2007,2009,1566,256300
2042,3,NridgHt,2008,2009,2009,2042,253293
2690,3,NridgHt,2009,2009,2009,1365,398800
2184,3,NridgHt,2008,2008,2009,1104,335000
2020,3,NridgHt,2008,2008,2009,2020,404000
2020,3,NridgHt,2009,2009,2009,2006,402861
2296,3,NridgHt,2008,2008,2009,1722,451950
2674,2,NridgHt,2007,2007,2009,2630,610000
2822,4,NridgHt,2008,2009,2009,1734,582933
1736,3,NridgHt,2008,2008,2009,1736,360000
1782,3,NridgHt,2004,2005,2009,1782,296000
2520,5,NridgHt,2007,2007,2009,1508,409900
1717,3,NridgHt,2006,2006,2009,1709,255500
1743,3,NridgHt,2008,2008,2009,1739,335000
1713,3,NridgHt,2004,2005,2009,1713,274900
1531,2,NridgHt,2006,2006,2009,1504,300000
1808,3,NridgHt,2008,2008,2009,1774,324000
2224,4,NridgHt,2004,2005,2009,1462,350000
1836,3,NridgHt,2004,2005,2009,1836,280000
1629,3,NridgHt,2003,2004,2009,3206,284000
1760,3,NridgHt,2003,2004,2009,1760,269500
1502,3,NridgHt,2009,2009,2009,1502,233170
2392,3,NridgHt,2003,2003,2009,2392,386250
2452,3,NridgHt,2003,2003,2009,2452,445000
2400,4,NridgHt,2003,2004,2009,1082,290000
1606,3,NridgHt,2006,2006,2009,1598,255900
1358,2,NridgHt,2005,2005,2009,1358,213000
1306,1,NridgHt,2005,2005,2009,1306,196000
1306,1,NridgHt,2005,2005,2009,1306,184500
1358,2,NridgHt,2007,2008,2009,1350,212500
1314,2,NridgHt,2007,2008,2009,1314,230000
2492,2,NridgHt,2004,2005,2009,2492,552000
2200,3,NridgHt,2003,2004,2009,2200,382500
1884,2,NridgHt,2008,2009,2009,1884,320000
1456,2,NridgHt,2008,2008,2009,1451,248500
1712,3,NridgHt,2002,2003,2009,1712,286500
1324,2,NridgHt,2006,2006,2009,1324,254000
1405,2,NridgHt,2003,2003,2009,1405,173000
1626,2,NridgHt,2003,2004,2009,764,173000
1456,3,Gilbert,2005,2005,2009,728,184000
1490,3,Gilbert,2005,2006,2009,745,167800
1484,3,Gilbert,2005,2005,2009,742,174000
1560,3,Gilbert,2005,2005,2009,684,174000
1555,2,Blmngtn,2007,2007,2009,1373,174000
1569,1,Blmngtn,2007,2007,2009,1386,175900
1555,2,Blmngtn,2005,2006,2009,1373,192500
1504,1,Blmngtn,2005,2006,2009,1346,181000
1220,2,Blmngtn,2005,2006,2009,1220,180000
1145,2,Blmngtn,2005,2006,2009,1145,160200
1432,3,Gilbert,2004,2005,2009,716,188500
1374,3,Gilbert,2004,2005,2009,384,170000
1630,3,Gilbert,2004,2005,2009,868,189500
1594,3,Gilbert,2004,2004,2009,846,195500
1314,2,NridgHt,2007,2008,2009,1314,207500
1374,3,Gilbert,2004,2004,2009,384,167000
1800,3,Gilbert,2000,2000,2009,982,179000
1514,3,Gilbert,2000,2000,2009,794,190000
1430,3,Gilbert,1999,2000,2009,384,156000
1430,3,Gilbert,1999,1999,2009,384,168000
2365,3,NoRidge,1999,1999,2009,1252,337000
2794,4,NoRidge,1995,1996,2009,1462,403000
2687,4,NoRidge,2000,2000,2009,1455,327000
2612,4,NoRidge,1998,1999,2009,1225,336000
2344,3,NoRidge,1996,1997,2009,1264,265000
2646,4,NoRidge,1993,1993,2009,1347,260000
2061,3,NoRidge,1995,1996,2009,1070,260000
2448,4,NoRidge,1994,2005,2009,1629,402000
1468,3,Somerst,2008,2009,2009,1468,244600
1696,3,Somerst,2008,2008,2009,1696,275000
1658,3,Somerst,2008,2008,2009,1614,257500
1578,3,Somerst,2008,2009,2009,1573,287090
1702,3,Somerst,2007,2007,2009,1702,275500
1432,3,Somerst,2006,2006,2009,1422,245000
1971,3,Somerst,2005,2005,2009,1113,253000
2490,2,Somerst,2005,2006,2009,2458,468000
1852,3,Somerst,2009,2009,2009,900,252678
1590,3,Somerst,2008,2008,2009,768,210000
1218,2,Somerst,2009,2009,2009,1218,208300
1314,3,Somerst,2009,2009,2009,1300,229456
1402,3,Somerst,2008,2008,2009,1402,229800
1530,3,Somerst,2007,2008,2009,1530,250000
1766,2,Somerst,2009,2009,2009,1766,370878
1448,2,Somerst,2006,2007,2009,1372,238500
2007,3,Somerst,2008,2008,2009,1017,310000
1795,3,Somerst,2006,2006,2009,900,270000
1953,3,Somerst,2005,2006,2009,1082,252000
1550,2,Somerst,2006,2007,2009,1092,241000
1836,3,Somerst,2008,2009,2009,1836,264500
1662,3,Somerst,2006,2007,2009,1652,291000
2094,4,Somerst,2003,2004,2009,912,263000
1221,2,Somerst,2004,2005,2009,1221,185000
1553,3,Somerst,2003,2004,2009,1553,234500
1653,3,Somerst,2003,2003,2009,812,209000
1218,3,SawyerW,2007,2007,2009,1218,159000
1141,3,SawyerW,2006,2006,2009,1141,152000
1812,3,SawyerW,2004,2004,2009,835,193000
1512,3,SawyerW,2004,2004,2009,1512,203000
1114,3,SawyerW,2004,2005,2009,1114,159000
1114,3,SawyerW,2003,2004,2009,1114,153000
1450,2,SawyerW,2008,2009,2009,1450,224243
2122,4,SawyerW,1996,1997,2009,913,220000
1844,2,SawyerW,2005,2006,2009,1844,257000
1434,3,SawyerW,2001,2001,2009,1454,189000
1730,3,SawyerW,1992,1992,2009,816,171500
1217,3,SawyerW,1980,1980,2009,626,120000
1332,2,SawyerW,1990,1991,2009,1332,145000
1540,3,SawyerW,1994,1994,2009,754,184000
1882,4,SawyerW,1981,1981,2009,0,160000
841,2,SawyerW,1950,1950,2009,721,82000
784,2,SawyerW,1928,1950,2009,784,76000
980,3,Sawyer,1962,1962,2009,980,110000
980,3,Sawyer,1977,1977,2009,980,135000
1144,3,Sawyer,1961,1983,2009,864,131400
864,3,Sawyer,1965,1965,2009,864,62383
912,3,Sawyer,1962,1962,2009,912,123000
3005,3,Somerst,2004,2005,2009,1376,280750
1224,2,Somerst,2009,2009,2009,612,164500
1224,2,Somerst,2009,2009,2009,612,173733
1471,3,Somerst,1999,1999,2009,729,172500
1512,2,Somerst,2000,2000,2009,756,180000
1452,3,Somerst,1999,1999,2009,691,156000
1739,3,Somerst,1999,2000,2009,970,172500
